captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T02:07:13Z,Tue Sep 08 2026,30 days,29,478245,1340,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11925,1658,1246,1340,1340
2026-09-09T02:19:40Z,Tue Sep 08 2026,30 days,29,478245,1340,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11925,1658,1246,1340,0
2026-09-09T02:25:17Z,Tue Sep 08 2026,30 days,29,478245,1340,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11925,1658,1246,1340,0
2026-09-09T05:45:31Z,Tue Sep 08 2026,30 days,29,478245,1340,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11925,1658,1246,1340,0
2026-09-10T05:45:29Z,Wed Sep 09 2026,30 days,29,484236,1392,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11738,1656,1245,1392,69
2026-09-11T04:24:30Z,Thu Sep 10 2026,30 days,29,486055,1362,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11599,1655,1235,1362,34
2026-09-12T04:03:39Z,Fri Sep 11 2026,30 days,29,488249,1287,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11469,1654,1229,1287,35
2026-09-12T04:21:30Z,Fri Sep 11 2026,30 days,29,488249,1287,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",11469,1654,1229,1287,0
