captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T02:48:55Z,Tue Sep 08 2026,30 days,5,105778,22,"NCMEC Amber Alert, MI LEIN",212,210,208,22,22
2026-09-09T14:54:26Z,Wed Sep 09 2026,30 days,5,107714,22,"NCMEC Amber Alert, MI LEIN",215,210,208,22,0
