organization
[Federal] Federal Bureau of Investigation (FBI)
[Federal] Indiana HIDTA
[Federal] US Postal Inspection Service
Adrian MI PD
Albion MI DPS
Allegan County SO MI
Alpena County MI SO
Anderson IN PD
Antrim County SO MI
Armada MI PD
Auburn Hills MI PD
Battle Creek MI PD
Berrien County MI SO
Beverly Hills MI PD
Birmingham MI PD
Blackman/Leoni Public Safety MI
Bloomfield NM PD
Bloomfield Twp MI PD
Bloomington IL PD
Bowling Green KY PD
Bridgeport Township MI PD
Brighton MI PD
Brownstown Twp PD MI
Burton MI PD
Calhoun County MI SO
Cape Girardeau MO PD
Carmel IN PD
Cass County MI SO
Charlotte MI PD
Charter Township of Buena Vista MI PD
Chesterfield Twp MI PD
Clarksville IN PD
Clawson MI PD
Clayton Township PD MI
Clinton County IA SO
Clinton County MI SO
Clinton Township MI PD
Clio MI PD
Clovis NM PD
Coldwater MI PD
Columbia County WI SO
Columbus IN PD
Cookeville TN PD
Covert Township PD MI
Crowley TX PD
Cumberland Metro IN PD
Davison Township MI PD
Dearborn Heights MI PD
Dearborn MI PD
Dickinson County MI SO
Dickson TN PD
Dubuque IA PD
East Hazel Crest IL PD
East Lansing MI PD
Eastpointe MI PD
Eaton Rapids MI PD
Elizabethtown KY PD
Elk Rapids MI PD
Elkhart County IN SO
Elkhart PD IN
Fairfax OH PD
Fairmount IN PD
Farmington Hills MI PD
Farmington MI DPS
Fenton MI PD
Ferndale MI PD [INACTIVE]
Festus MO PD
Fishers IN PD
Fishkill Town NY PD
Flat Rock MI PD
Flint MI PD
Flint Township MI PD
Floyd County IN SO
Flushing City MI PD
Fort Wayne IN PD
Frankenmuth MI PD - New Business
Franklin County IL SO
Franklin County MO SO
Franklin IN PD
Franklin WI PD
Franklin-Bingham Farms MI PD
Fraser MI DPS
Fruitport Township MI PD
Garden City MI PD
Garfield Heights OH PD
Garrard County KY SO
Gaylord MI PD
Genesee County MI SO
Glasgow KY PD
Gogebic County MI SO
Goshen IN PD
Grand Beach/Michiana MI PD
Grand Blanc Twp MI PD
Grand Haven MI DPS
Grand Rapids MI PD
Grand Traverse County MI SO
Grand Valley State University MI
Grandville PD MI
Grant County IN SO
Gratiot County MI SO
Grayslake IL PD
Green Oak Township MI PD
Greenwood IN PD
Griffith IN PD
Grosse Ile MI PD
Guernsey County OH SO
Gun Lake Tribal PD MI
Hamblen County TN SO
Hamtramck MI PD
Hancock County IN SO
Hanover Park IL PD
Harrison OH PD
Hartford City IN PD
Hazel Park MI PD
Henderson County KY SO
Henderson KY PD
Hendersonville TN PD
Henry County IN SO
Highland Park MI PD
Hillsborough County FL SO
Holland MI PD
Houston TX PD
Huron Township MI PD
Indiana State Police IN PD
Inkster MI PD
Jackson County MI SO
Jackson MI PD
Jasper County Sheriff IA
Jeffersontown KY PD
Kalamazoo County MI SO
Kalamazoo MI PD
Kalamazoo Township MI PD
Kellogg Community College Campus MI PD
Kentwood MI PD
Kingston TN PD
Kokomo IN PD
La Vergne TN PD
Lafayette TN PD
Lansing IL PD
Lansing MI PD
Lapeer City MI PD
Lathrup Village MI PD
Lebanon TN PD
Lenawee County MI SO
Lighthouse Point FL PD
Ligonier IN PD
Lincoln Park MI PD
Little Traverse Bay Band of Odawa Indians MI PD
Livingston County MI SO
Livonia MI PD
Louisville Metro KY PD
Lowell MI PD
Macomb County MI SO
Madison County IN SO
Madison Heights MI PD
Mansfield TX PD
Marion Health PD (IN)
Marion IN PD
Marquette County MI SO
Marysville MI PD
Matteson IL PD
Melvindale MI PD
Menominee County SO MI
Mesquite TX PD
Metamora Township MI PD
Metro Police Authority of Genesee County MI
MI - Bloomfield Public Safety
MI - Riverview PD
MI - Saginaw County SO
MI - Village of Middleville
Miami County OH SO
Michigan Department of Attorney General
Michigan Department of Corrections (MDOC)
Michigan Department of Natural Resources
Michigan Senate MI PD
Michigan State Police
Milan MI PD
Milford MI PD
Missouri Department of Conservation
Missouri Information Analysis Center
MOCIC
Monroe County MI SO
Monroe MI PD
Moundsville WV PD
Mount Morris Township PD MI
Muncie IN PD
Muskegon County MI SO
Muskegon Heights MI PD
Muskegon MI PD
Muskegon Township MI PD (Muskegon County)
Napoleon Twp MI PD
Nappanee IN PD
Nebraska State Patrol
New Baltimore MI PD
New Brighton Dept of Pub Safety (MN)
Normal IL PD
North Muskegon MI PD
Northville Twp MI PD
Norton Shores MI PD
Nottawaseppi Huron Band of the Potawatomi Tribal Police MI
Novi MI PD
Oak Creek WI PD
Oak Park MI Dept of Public Safety
Oakland County MI SO
Oceana County MI SO
OH - Johnny Appleseed Metropolitan Park District PD
OH - Williamsburg PD
Ohio Bureau of Criminal Investigation
Ohio County SO WV
Ontonagon County MI SO
Orleans County NY SO
Ottawa County MI SO
Oxford MS PD
Penn State University Police and Public Safety PA
Pennsylvania State PD
Pentwater MI PD
Peoria IL PD
Perrysburg OH PD
Pittsboro IN PD
Plymouth MI PD
Pokagon Tribal MI PD
Port Huron MI PD
Portage MI PD
Pulaski County IN SO
Putnam County TN SO
Radcliff KY PD
Raleigh NC PD
Redford Twp MI PD
Richland Village MI PD
River Rouge MI PD
Rockdale IL PD
Rockford Dept of Public Safety MI
Romulus MI PD
Roseville MI PD
Royal Oak MI PD
Russellville KY PD
Saginaw MI PD
Saginaw Township MI PD
Saginaw Valley State University MI PD
Saint Clair Shores MI PD
Sarpy County NE SO
Schoolcraft College MI PD
Schuyler Co. IL SO
Shelby County KY SO
Shelby Township MI PD
Sidney OH PD
Silver Spring Township PA PD
Smyrna TN PD
South Bend IN PD
South Lyon MI PD
Southfield MI PD
Speedway IN PD
Spring Arbor MI PD
Springport Twp MI PD
St. Clair County MI SO
St. Clair MI PD
St. Joseph Department of Public Safety MI
Sterling Heights MI PD
Sturgis MI PD
Sullivan County IN SO
Sumner County TN SO
Sumpter Twp MI PD
Taylor MI PD
The Tribal Police of the Grand Traverse Band of Ottawa & Chippewa Indians MI
Thornton CO PD
