captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T02:07:21Z,Tue Sep 08 2026,30 days,62,1011594,1257,"NCMEC Amber Alert, MI LEIN",10471,318,615,1257,1257
2026-09-09T02:19:52Z,Tue Sep 08 2026,30 days,62,1011594,1257,"NCMEC Amber Alert, MI LEIN",10471,318,615,1257,0
2026-09-09T02:25:28Z,Tue Sep 08 2026,30 days,62,1011594,1257,"NCMEC Amber Alert, MI LEIN",10471,318,615,1257,0
2026-09-09T04:55:27Z,Tue Sep 08 2026,30 days,62,1011594,1257,"NCMEC Amber Alert, MI LEIN",10471,318,615,1257,0
2026-09-10T04:55:30Z,Wed Sep 09 2026,30 days,62,1022367,1287,"NCMEC Amber Alert, MI LEIN",10463,318,615,1287,52
2026-09-11T04:07:28Z,Thu Sep 10 2026,30 days,62,1022767,1302,"NCMEC Amber Alert, MI LEIN",10501,443,615,1302,62
2026-09-11T04:09:26Z,Thu Sep 10 2026,30 days,62,1022767,1302,"NCMEC Amber Alert, MI LEIN",10501,443,615,1302,0
