captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T02:48:52Z,Wed Sep 09 2026,30 days,9,348470,60,"NCMEC Amber Alert, MI LEIN",1200,1608,236,60,60
2026-09-09T17:10:26Z,Wed Sep 09 2026,30 days,9,348470,60,"NCMEC Amber Alert, MI LEIN",1200,1608,236,60,0
2026-09-10T17:10:27Z,Thu Sep 10 2026,30 days,9,348123,60,"NCMEC Amber Alert, MI LEIN",1202,1605,235,60,0
2026-09-11T17:10:27Z,Fri Sep 11 2026,30 days,9,348073,59,"NCMEC Amber Alert, MI LEIN",1107,1604,235,59,0
2026-09-11T17:32:27Z,Fri Sep 11 2026,30 days,9,348073,59,"NCMEC Amber Alert, MI LEIN",1107,1604,235,59,0
2026-09-12T17:32:26Z,Sat Sep 12 2026,30 days,9,347983,57,"NCMEC Amber Alert, MI LEIN",1160,1602,235,57,0
2026-09-13T02:13:25Z,Sun Sep 13 2026,30 days,9,347678,58,"NCMEC Amber Alert, MI LEIN",1169,1602,235,58,1
