captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T02:48:49Z,Tue Sep 08 2026,30 days,44,663848,261,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",15164,1706,663,261,261
2026-09-09T06:19:54Z,Tue Sep 08 2026,30 days,44,663848,261,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",15164,1706,663,261,0
2026-09-10T06:19:27Z,Wed Sep 09 2026,30 days,44,665645,268,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",15118,1704,660,268,7
2026-09-11T06:19:27Z,Thu Sep 10 2026,30 days,44,668613,270,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",15067,1703,659,270,7
2026-09-12T04:07:27Z,Fri Sep 11 2026,30 days,44,670795,267,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",15151,1700,656,267,3
2026-09-12T05:44:22Z,Fri Sep 11 2026,30 days,44,670795,267,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",15151,1700,656,267,0
