organization
[Federal] Indiana HIDTA
[Federal] US Postal Inspection Service
Adrian MI PD
Albion MI DPS
Allegan County SO MI
Almont MI PD
Alpena County MI SO
Anderson IN PD
Antrim County SO MI
Armada MI PD
Auburn Hills MI PD
Battle Creek MI PD
Berrien County MI SO
Beverly Hills MI PD
Birmingham MI PD
Blackman/Leoni Public Safety MI
Bloomfield Twp MI PD
Bridgeport Township MI PD
Brighton MI PD
Brownstown Twp PD MI
Burton MI PD
Calhoun County MI SO
Carmel IN PD
Cass County MI SO
Charlotte MI PD
Charter Township of Buena Vista MI PD
Chesterfield Twp MI PD
Clawson MI PD
Clayton Township PD MI
Clinton County MI SO
Clinton Township MI PD
Clio MI PD
Coldwater MI PD
Cookeville TN PD
Covert Township PD MI
Cumberland Metro IN PD
Davison Township MI PD
Dearborn Heights MI PD
Dearborn MI PD
Dickinson County MI SO
East Lansing MI PD
Eastpointe MI PD
Eaton Rapids MI PD
Elizabethtown KY PD
Elk Rapids MI PD
Elkhart County IN SO
Fairmount IN PD
Farmington Hills MI PD
Farmington MI DPS
Fenton MI PD
Ferndale MI PD [INACTIVE]
Flat Rock MI PD
Flint MI PD
Flint Township MI PD
Floyd County IN SO
Flushing City MI PD
Fort Wayne IN PD
Frankenmuth MI PD - New Business
Franklin IN PD
Franklin-Bingham Farms MI PD
Fraser MI DPS
Fruitport Township MI PD
Garden City MI PD
Gaylord MI PD
Genesee County MI SO
Glasgow KY PD
Gogebic County MI SO
Goshen IN PD
Grand Beach/Michiana MI PD
Grand Blanc Twp MI PD
Grand Haven MI DPS
Grand Rapids MI PD
Grand Traverse County MI SO
Grand Valley State University MI
Grandville PD MI
Grant County IN SO
Grosse Ile MI PD
Gun Lake Tribal PD MI
Hamtramck MI PD
Hancock County IN SO
Hartford City IN PD
Hazel Park MI PD
Henry County IN SO
Highland Park MI PD
Holland MI PD
Howard County IN SO
Huron Township MI PD
Inkster MI PD
Jackson County MI SO
Jackson MI PD
Jeffersontown KY PD
Kalamazoo County MI SO
Kalamazoo MI PD
Kalamazoo Township MI PD
Kellogg Community College Campus MI PD
Kent County MI SO
Kentwood MI PD
Kokomo IN PD
Lansing MI PD
Lapeer City MI PD
Lathrup Village MI PD
Lenawee County MI SO
Ligonier IN PD
Lincoln Park MI PD
Little Traverse Bay Band of Odawa Indians MI PD
Livingston County MI SO
Livonia MI PD
Lowell MI PD
Macomb County MI SO
Madison County IN SO
Madison Heights MI PD
Marion Health PD (IN)
Marion IN PD
Marquette County MI SO
Marysville MI PD
Melvindale MI PD
Menominee County SO MI
Metamora Township MI PD
Metro Police Authority of Genesee County MI
MI - Bloomfield Public Safety
MI - Riverview PD
MI - Saginaw County SO
MI - Village of Middleville
Michigan Department of Attorney General
Michigan Department of Corrections (MDOC)
Michigan Department of Natural Resources
Michigan Senate MI PD
Michigan State Police
Milan MI PD
Milford MI PD
Monroe County MI SO
Monroe MI PD
Mount Morris Township PD MI
Muncie IN PD
Muskegon County MI SO
Muskegon Heights MI PD
Muskegon MI PD
Muskegon Township MI PD (Muskegon County)
Napoleon Twp MI PD
Nappanee IN PD
New Baltimore MI PD
North Muskegon MI PD
Northville Twp MI PD
Norton Shores MI PD
Nottawaseppi Huron Band of the Potawatomi Tribal Police MI
Novi MI PD
Oak Park MI Dept of Public Safety
Oakland County MI SO
Oceana County MI SO
Ontonagon County MI SO
Ottawa County MI SO
Pentwater MI PD
Plymouth MI PD
Plymouth Township MI PD
Pokagon Tribal MI PD
Port Huron MI PD
Portage MI PD
Radcliff KY PD
Redford Twp MI PD
Richland Village MI PD
River Rouge MI PD
Romulus MI PD
Roseville MI PD
Royal Oak MI PD
Saginaw MI PD
Saginaw Township MI PD
Saginaw Valley State University MI PD
Saint Clair Shores MI PD
Schoolcraft College MI PD
Shelby County KY SO
Shelby Township MI PD
South Bend IN PD
South Lyon MI PD
Southfield MI PD
Spring Arbor MI PD
Springport Twp MI PD
St. Clair County MI SO
St. Clair MI PD
St. Joseph Department of Public Safety MI
Sterling Heights MI PD
Sturgis MI PD
Sumpter Twp MI PD
Taylor MI PD
The Tribal Police of the Grand Traverse Band of Ottawa & Chippewa Indians MI
Three Rivers MI PD
Traverse City MI PD
Trenton PD MI
Troy MI PD
Tuscola County MI SO
University of Michigan Ann Arbor Campus MI PD
Utica MI PD
Van Buren MI PD
Village of Dundee MI PD
Walker MI PD
Walled Lake MI PD
Warren MI PD
Waterford Township MI PD
Wayland MI PD
Wayne County Airport Authority MI
West Bloomfield Twp MI PD
Western Michigan University MI PD
Westfield IN PD
Westland MI PD
White Lake Twp MI PD
Whitehall MI PD
Wixom MI PD
Wolverine Lake MI PD
Woodhaven MI PD
Wyandotte MI PD
Wyoming MI PD
Zeeland MI PD
