captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T02:48:57Z,Tue Sep 08 2026,30 days,3,,7,"NCMEC Amber Alert, MI LEIN",93,211,326,7,7
2026-09-09T17:23:26Z,Wed Sep 09 2026,30 days,3,71960,7,"NCMEC Amber Alert, MI LEIN",91,211,326,7,0
2026-09-10T17:23:26Z,Thu Sep 10 2026,30 days,3,70789,7,"NCMEC Amber Alert, MI LEIN",93,211,323,7,0
2026-09-11T17:23:25Z,Fri Sep 11 2026,30 days,3,69759,6,"NCMEC Amber Alert, MI LEIN",87,211,322,6,0
2026-09-11T23:41:26Z,Fri Sep 11 2026,30 days,3,69759,6,"NCMEC Amber Alert, MI LEIN",87,211,322,6,0
2026-09-12T23:41:25Z,Sat Sep 12 2026,30 days,3,68568,4,"NCMEC Amber Alert, MI LEIN",82,211,322,4,0
