captured_at,last_updated,retention,lpr_cameras,unique_vehicles,searches,hotlists,hotlist_hits,sharing_outbound_count,sharing_inbound_count,audit_rows_on_portal,audit_rows_new
2026-09-09T02:48:34Z,Tue Sep 08 2026,30 days,7,175614,86,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",861,172,463,86,86
2026-09-09T22:33:31Z,Wed Sep 09 2026,30 days,7,175642,86,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",914,172,459,86,1
2026-09-10T02:31:27Z,Wed Sep 09 2026,30 days,7,175642,86,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",914,172,459,86,0
2026-09-11T02:31:26Z,Thu Sep 10 2026,30 days,7,173489,87,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",894,172,459,87,5
2026-09-11T09:08:26Z,Thu Sep 10 2026,30 days,7,173489,87,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",894,172,459,87,0
2026-09-12T09:09:12Z,Fri Sep 11 2026,30 days,7,172064,79,"NCMEC Amber Alert, Wisconsin DOJ, MI LEIN",885,172,457,79,0
